DG	reads#	left_arm	right_arm	left_loc	right_loc	min_L_pos	min_R_pos	min_distance	5ssnt_L_pos	5ssnt_R_pos	5ssnt_distance
18S,18S,2	18	635-682	719-747	core	expansion	662	736	36.668540954589844	680	744	45.6801872253418
18S,18S,4	12	595-636	661-685	core	core	621	669	24.046117782592773	632	680	66.20858764648438
18S,18S,5	10	634-658	855-878	core	expansion	656	855	35.86095428466797	656	872	68.57040405273438
18S,18S,25	33	1333-1364	1402-1413	core	expansion	1343	1405	44.14828109741211	1362	1410	75.01966857910156
18S,18S,27	16	1266-1287	1495-1512	expansion	core	1275	1512	6.5467658042907715	1283	1507	18.96999168395996
18S,18S,28	13	1294-1328	1405-1424	expansion	core	1327	1405	50.86246871948242	1324	1419	86.88188171386719
18S,18S,39	48	108-140	296-312	expansion	core	126	312	4.9490461349487305	NA	NA	NA
18S,18S,40	21	106-147	319-333	expansion	core	143	329	10.803832054138184	143	329	10.803832054138184
18S,18S,47	84	107-141	169-183	expansion	core	127	181	5.148617744445801	NA	NA	NA
18S,18S,59	31	494-524	555-568	expansion	expansion	524	563	6.905326843261719	521	563	20.428638458251953
18S,18S,92	11	1061-1094	1806-1829	core	core	1062	1828	20.805448532104492	1088	1824	34.9080924987793
18S,18S,101	16	1081-1118	1661-1680	expansion	core	1100	1680	54.98728942871094	1114	1678	74.89607238769531
